pa_name,season,year,ndvi_mean,evi,savi,vegetation_percent,sensor,day_count,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,surface_pressure,dewpoint_temperature_2m,runoff_sum,skin_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,sub_surface_runoff_sum,surface_runoff_sum,surface_solar_radiation_downwards_sum,total_evaporation_sum,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
محمية وادي العلاقي,0,1984,0.0347817967886693,-0.0339340436516965,0.0521719880505922,0.0004908400815704,L5,91,291.22113012913667,4.947899112253527e-06,-1.365893953695908,-2.644931023035007,96911.96489567972,277.6038639027797,1.6749464095276045e-08,293.39967251242126,293.51431516422167,294.7704152330731,298.50823792833177,302.0035855845365,0.0,1.688909611636303e-08,18657449.056161653,-5.546488338784017e-05,0.0011807254697209,3.8148468674629394e-05,3.410473099511868e-05,3.410473099511868e-05
محمية وادي العلاقي,1,1984,0.0379823699315473,-0.0373090832436874,0.0569727986666807,1.0989006906906302e-07,L5,92,300.36641472827205,1.292723958241756e-06,-1.3994081286464068,-2.4081892762859405,96350.01306938236,273.1707650410129,2.0566647967941942e-09,304.25324280594435,304.0876309596844,302.7287676536057,299.89176276556987,301.0796596664463,0.0,2.545814912926294e-09,27304948.31572544,-9.638515753104896e-05,3.5185728942431464e-05,3.8148468674629394e-05,3.410473099511868e-05,3.410473099511868e-05
محمية وادي العلاقي,2,1984,0.0405086109526049,-0.0416403802718856,0.0607621140146563,0.0001200837666454,L5,92,304.3313136847857,8.41525344557928e-07,2.117891336353136,-2.432101977452359,96087.57338233569,276.72103599641366,8.057963296721459e-10,308.3383679161952,308.251247771893,307.57667064616896,305.2468230008238,301.5886765830972,0.0,8.110605332723727e-10,27683301.185914792,-0.00011713513076945524,3.410473099511867e-05,3.8148468674629394e-05,3.410473099511867e-05,3.410473099511868e-05
محمية وادي العلاقي,3,1984,0.0393153142291912,-0.0401653771801978,0.0589721799770615,0.0007823680751321,L5,91,299.9407106005788,1.6222534532646185e-05,-1.2054367579029273,-2.1692402087506952,96535.0545638224,280.448614403424,5.795341673675469e-08,303.0029675279035,303.07229589637194,303.8616822569632,304.9753119013666,302.560761849825,0.0,5.894206776508036e-08,21457362.62149546,-9.031935865090956e-05,0.0011125239249832,3.8148468674629394e-05,3.4104730995118675e-05,3.410473099511868e-05
محمية وادي العلاقي,0,1985,0.037399204332178,-0.0376535082301284,0.0560980272932919,0.0001718714148182,L5,90,291.18585565509323,6.350844899066856e-06,-1.0106585101660768,-2.696317549597345,96844.39633350848,276.9936179743545,2.1299396101717237e-08,293.2901220296656,293.4119495869429,294.73389693666115,298.5499331057265,302.32281989585914,0.0,2.1553521185587283e-08,18719591.9702119,-5.288690818634945e-05,0.0005465846345790737,3.8148468674629394e-05,3.410473099511868e-05,3.410473099511868e-05
محمية وادي العلاقي,1,1985,0.0397574756605686,-0.0385668000107905,0.0596353879548108,5.1073358298872175e-06,L5,92,300.21382329581,7.027607510552811e-06,-1.609469232663571,-2.3154380064674007,96392.84458149972,275.5929610061983,2.3979085773045092e-08,304.2985651360554,304.1186929524465,302.6112158027599,299.72039208272065,301.3216092410958,0.0,2.4161300265385372e-08,26663076.39299013,-9.510900943144496e-05,0.00028610080906666394,3.8148468674629394e-05,3.410473099511868e-05,3.410473099511868e-05
محمية وادي العلاقي,3,1985,0.0351280346924476,-0.0331748863515756,0.0526912957297818,3.280373200263286e-07,L5,91,300.3553162205717,2.788042652547785e-05,-1.10784291039434,-2.473265996017311,96493.26893448192,281.8613630248268,1.0304065478395965e-07,303.55933234206634,303.61279052394684,304.2424203846214,305.2236574046085,302.8316245080511,0.0,1.0363219082877335e-07,21361188.6735379,-0.00010233705884258688,0.0018230054533573,3.8148468674629394e-05,3.4104730995118675e-05,3.410473099511868e-05
محمية وادي العلاقي,0,1986,0.0351536464334852,-0.0348601363105727,0.0527297464585448,0.0001419057610632,L5,90,291.367115086394,1.062220188902068e-05,-1.2374940972782131,-2.4811127000907254,96846.21409802332,277.3719641285861,3.8319994584001576e-08,293.55607191502315,293.6767845884549,294.99929645348243,298.9725822884386,302.63562525808646,0.0,3.8500922553327585e-08,18669802.32211154,-5.637127938468572e-05,0.0019683008351204,3.8148468674629394e-05,3.410473099511868e-05,3.410473099511868e-05
محمية وادي العلاقي,1,1986,0.0292520502138593,-0.0279941837927013,0.0438774849685913,5.63380289397743e-05,L5,92,298.9460539058645,4.254052524048864e-06,-0.4974361038654252,-2.5873450323989893,96423.9672481793,275.29668142822834,1.3168280648356111e-08,303.0438251536243,302.9195374448836,301.9394944485718,299.9310297351449,301.64349735981,0.0,1.3840844193093404e-08,27310524.99127269,-9.136739121758558e-05,0.00019668979682707044,3.8148468674629394e-05,3.410473099511868e-05,3.410473099511868e-05
محمية وادي العلاقي,3,1986,0.0363923480105851,-0.0363845739171834,0.0545877687305038,0.000127884793518,L5,91,299.96537663852854,7.577505349151231e-06,-1.095179564801491,-2.4497169975525117,96552.48157081044,281.26867728692355,2.6505353723306343e-08,303.0257302845457,303.1180407858816,304.0798844887201,305.4526542211487,302.9611831199842,0.0,2.6959765452978936e-08,21422767.79423973,-8.874320792675588e-05,0.0005011884633896997,3.8148468674629394e-05,3.410473099511868e-05,3.410473099511868e-05
محمية وادي العلاقي,0,1987,0.0340029189333543,-0.0336042001814809,0.0510036717761409,0.0002387195579019,L4,90,290.3093924207689,1.6432611582343824e-05,-0.9382145700396008,-2.644494134603545,97003.42736186464,276.3640468698237,5.9085887091407214e-08,292.41714657129387,292.529098516393,293.79365243960785,297.82910100638185,302.57359927860256,0.0,5.988689162836299e-08,18829616.957374364,-5.2569246090565736e-05,0.0002848829456103963,3.8148468674629394e-05,3.410473099511868e-05,3.410473099511868e-05
محمية وادي العلاقي,2,1987,0.0434466066457621,-0.0461621035077034,0.0651690129714303,0.0006882492813835,L5,92,305.9339202577487,2.4660468832229096e-05,1.7974690123841972,-2.893478517813699,96118.22194192972,277.04184799140046,9.130534855298645e-08,309.67419930248656,309.57687800525224,308.76480456711545,305.67859675614994,301.8104860644643,0.0,9.16219884145463e-08,27527290.66245735,-0.00013657558821719362,0.0009412802305794874,3.8148468674629394e-05,3.410473099511868e-05,3.410473099511868e-05
محمية وادي العلاقي,3,1987,0.0366681734527854,-0.0365209603751292,0.0550014895031437,0.0001857058363846,L4,91,300.26234040836346,7.25868444599679e-05,-0.6725670535784805,-2.540992697280233,96520.2097116332,280.95290948656,2.728505216049762e-07,303.33269852252965,303.39058860238924,304.07953146330715,305.4146495219734,302.88667589839,0.0,2.73833884295667e-07,21589442.926188037,-0.00014480287343244006,0.0030610294544943,4.353160845997093e-05,3.410473099511868e-05,3.410473099511868e-05
محمية وادي العلاقي,0,1988,0.0368631876069506,-0.0369863838119445,0.0552940118662213,0.0002539754779591,L4,91,290.4661206410677,4.360258759051708e-06,-0.4696418482644898,-2.6735517916641323,96925.46951114525,276.9552807403836,1.3868538617409325e-08,292.61884264277126,292.75082156653986,294.1870253316342,298.486284618574,302.62817371215704,0.0,1.4304895506449724e-08,18652092.867335465,-5.208903603118764e-05,0.000507871721372607,3.8148468674629394e-05,3.410473099511868e-05,3.410473099511868e-05
محمية وادي العلاقي,1,1988,0.0382207004918566,-0.0388407113147111,0.0573302691598382,0.0001733980955425,L4,92,300.66393704456783,4.6507956602086905e-05,-1.2385796993598512,-2.5934971940108458,96400.96444323564,274.4271106597957,1.727159253395304e-07,304.34293010500267,304.17663105570966,302.7564308383609,299.7896062851584,301.5173726445528,0.0,1.7379138546110885e-07,27035914.94789036,-0.00012098671563786636,0.0026246373231793,3.833506444532052e-05,3.410473099511868e-05,3.410473099511868e-05
