pa_name,season,year,ndvi_mean,evi,savi,vegetation_percent,sensor,day_count,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,surface_pressure,dewpoint_temperature_2m,runoff_sum,skin_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,sub_surface_runoff_sum,surface_runoff_sum,surface_solar_radiation_downwards_sum,total_evaporation_sum,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
محمية نيزك جبل كامل,0,1984,0.0547632069609042,-0.0665925265999055,0.0821438429472246,0.0012756835724708,L5,91,285.0910450862005,2.981152159624041e-06,-2.146390813872926,-2.048725439515306,94187.64827259327,270.2491623357976,8.781041417803083e-09,285.79905158521484,285.9188219063448,287.2431940924118,291.40063578287754,296.1624205760466,0.0,9.108539466019514e-09,19522440.5456044,-1.9410192700369017e-05,0.00010801863757681932,-2.8394144715976146e-22,-7.299383540339917e-23,-3.49342275241783e-24
محمية نيزك جبل كامل,1,1984,0.0550151974538604,-0.0666441569250949,0.0825218671960239,0.0,L5,92,296.99394732350885,4.862357292630911e-06,-2.990234160509662,-1.1656674224397412,93660.42072930816,268.7723540679268,1.513196722320888e-08,299.0930336648139,298.87646276778065,297.1632059042004,293.64213274665497,294.9872294895891,0.0,1.5617874653443045e-08,27481584.95915368,-4.5603729085996746e-05,0.0002639388692551765,-6.860834867462634e-22,-8.999500801646275e-23,-1.133562018806601e-23
محمية نيزك جبل كامل,2,1984,0.0606163369726235,-0.0746236459601304,0.0909234799902803,0.0,L5,92,300.2782127642977,8.41525344557928e-07,-1.4038534137649816,-3.2523464153642245,93617.61856884055,274.91700815256087,8.098457170569377e-10,303.32553361671563,303.22499417291164,302.5167433434639,299.8594948119012,295.5884449654732,0.0,8.098457170569377e-10,28245752.74184782,-5.398817770385548e-05,-9.292795458216096e-21,-9.199954785361754e-22,-9.501847429274087e-21,-1.6790847055096858e-23
محمية نيزك جبل كامل,3,1984,0.0551302385214455,-0.0666085019974955,0.0826944210271667,0.0001380476009009,L5,91,294.6275850638365,1.0999721647875093e-06,-2.34182915626428,-2.9021450434848943,93929.93284290578,275.4115915067904,8.965259069924824e-10,296.02701770097786,296.1223530626123,297.18855236039497,299.0069670065856,296.6834139533969,0.0,1.879020051641778e-09,22395714.69540962,-3.326043670812806e-05,4.0871756417400835e-08,-6.563781134020241e-22,-5.89386809009972e-21,-8.31558111819544e-24
محمية نيزك جبل كامل,0,1985,0.0523055819775447,-0.0631486763863454,0.0784574604662834,0.0,L5,90,286.02217096258096,2.9293899661742747e-05,-1.6339596184977778,-2.040533551110161,94121.47284107354,271.35295291476785,1.0684960418277317e-07,286.75513170736804,286.86965856764044,288.1461914783053,291.968319137008,296.3240184006867,0.0,1.0709381765789457e-07,19266765.951666668,-3.7758558367689447e-05,0.0038893099184389,-4.533566000702683e-22,-4.300043811058173e-23,-2.6242299765758856e-24
محمية نيزك جبل كامل,1,1985,0.0531536631785067,-0.0649577685549536,0.0797295567471489,0.0,L5,92,296.30007365268204,9.224707164356973e-06,-2.669143702586492,-1.5130125875058382,93719.61368425892,269.82376140787983,3.152729376502659e-08,298.65766389957366,298.45201366535133,296.8421130014503,293.7819886069367,295.2534060008284,0.0,3.1851232051849374e-08,27353012.09741848,-4.393221537137161e-05,0.0008294523626134014,-7.997139452367161e-22,-9.553653745529278e-23,-6.977286878307466e-24
محمية نيزك جبل كامل,0,1986,0.049833373469414,-0.0595039730843864,0.0747491864734224,0.0,L5,90,285.67582505967886,1.1860893622323626e-06,-1.7067169137354254,-1.85914843250204,94114.28835214122,271.59681954843023,2.3966034253438313e-09,286.4411336008707,286.55367453822385,287.84192301573574,291.9196615473429,296.57778402116577,0.0,2.562171883053249e-09,19691381.11222222,-1.9891665627559025e-05,2.227006135163405e-07,-4.541647449739392e-22,-3.790340042880417e-23,-1.6109872531700206e-24
محمية نيزك جبل كامل,2,1986,0.0556316165799567,-0.0671733024475778,0.0834464565754171,0.0,L5,92,302.25255252036493,9.507352304538586e-07,-1.7992169785326804,-2.353903880499411,93579.16966853489,275.81834531866986,1.2957531472911003e-09,305.3484835970229,305.185142001553,303.917575667561,300.1514529573745,295.9198109419449,0.0,1.4617715192877724e-09,27821971.91902174,-6.066430208232739e-05,3.6281088124050327e-09,-8.714399405791226e-22,-4.427755316826889e-21,-1.0720103414109945e-23
محمية نيزك جبل كامل,3,1986,0.0515170077894486,-0.0612443162797997,0.0772746100115782,0.0,L5,91,294.5535579471798,8.434318834440922e-07,-2.17708046226711,-2.7154550678127416,93959.8588645404,276.8251325530448,9.82494144649296e-10,296.3449363205458,296.46201250125205,297.7213687617264,299.84767238770644,297.1525152311221,0.0,1.391866704919836e-09,22184623.53349931,-3.3208348911132785e-05,3.8601103283100036e-08,-1.017897960339521e-21,-2.71612106584646e-22,-3.4327683320775844e-24
محمية نيزك جبل كامل,0,1987,0.0478243937406187,-0.0551636615680787,0.0717357723308018,9.367515775418576e-05,L4,90,284.6621260325114,1.0873600207301278e-06,-1.603533884154426,-1.8941658525996736,94260.7438284867,270.25497930456083,9.106265174018011e-10,285.41960865868464,285.5414274356983,286.9115786531236,291.3362519356056,296.6990521042435,0.0,1.8212530348036022e-09,19701479.638888888,-1.8082791939377785e-05,2.04863371672445e-07,-6.193313532078316e-22,-3.850983240648515e-23,-2.099398077437432e-24
