pa_name,season,year,ndvi_mean,evi,savi,vegetation_percent,sensor,day_count,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,surface_pressure,dewpoint_temperature_2m,runoff_sum,skin_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,sub_surface_runoff_sum,surface_runoff_sum,surface_solar_radiation_downwards_sum,total_evaporation_sum,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
محمية الواحات البحرية الجزء الوسطي -جبل منديشة (جبل الانجليز),0,1984,0.0419233378195269,-0.0383701182953379,0.0628842070281697,4.603149237515463e-05,L5,91,285.4112736125569,5.89592163228071e-06,0.84505880909525,-1.61697354273045,100205.63612744678,275.6586471767217,1.7160897726541036e-08,286.2174892104152,286.42862614222935,287.85932458870576,292.23242812383745,296.7367877778553,0.0,1.7684894603687328e-08,15991098.953846153,-2.135318796058277e-05,0.00042399451846168143,-2.8394144715976146e-22,-7.299383540339917e-23,-3.49342275241783e-24
محمية الواحات البحرية الجزء الوسطي -جبل منديشة (جبل الانجليز),1,1984,0.0380441424108755,-0.0372304823365302,0.0570654439614825,2.879480909493844e-05,L5,92,294.98687301718667,4.121510056582693e-05,-0.2885981087235437,-1.8503230957017427,99527.82668492412,274.46176875846976,1.3838643613068953e-07,297.82335044612057,297.75221128878377,296.2816734396893,293.4524810583696,295.5272140848465,0.0,1.3849981453107752e-07,25934341.73795803,-5.327901276557342e-05,0.0130937935649484,-6.860834867462634e-22,-8.999500801646275e-23,-1.133562018806601e-23
محمية الواحات البحرية الجزء الوسطي -جبل منديشة (جبل الانجليز),2,1984,0.0450153743783679,-0.0461749291311692,0.0675221498868379,0.0417162320381454,L5,92,300.1656885050345,1.408579315641196e-06,0.577216311382211,-4.641984193826068,99306.17685688406,283.766494815937,2.883050752722698e-09,303.7450507136359,303.75828453837966,302.9211637040843,299.9299148974212,295.9309714317321,0.0,2.721081609311311e-09,28544618.730434783,-5.008379685813966e-05,0.00012468669725501015,-9.199954785361754e-22,-9.501847429274087e-21,-1.6790847055096858e-23
محمية الواحات البحرية الجزء الوسطي -جبل منديشة (جبل الانجليز),3,1984,0.0339954269455445,-0.0324875840192274,0.0509924092330034,8.849504156402547e-05,L5,91,295.20644494500345,1.606832367695237e-05,0.211037467163561,-3.0260578407909406,99779.55429437096,282.9953833639404,5.1744691618196265e-08,297.0953270852784,297.2728265210386,298.1968069963839,299.6897332495386,297.0486222375444,0.0,5.264531125079144e-08,19817401.66299204,-4.0780855240402646e-05,0.0019838032705006,-6.563781134020241e-22,-5.89386809009972e-21,-8.31558111819544e-24
محمية الواحات البحرية الجزء الوسطي -جبل منديشة (جبل الانجليز),0,1985,0.0268946198653548,-0.0240306602100018,0.0403413673314204,6.422297735310876e-05,L5,90,286.11047863854304,1.3010614375051292e-05,1.1967105418664437,-1.2256658504627371,100071.32317672166,275.7501292928059,4.1226545969645175e-08,286.9316552352905,287.13451721473973,288.5241167803164,292.5427506962529,296.78106425391303,0.0,4.149145550198025e-08,15581677.155555556,-1.898045341173808e-05,0.0045693842569986,-4.533566000702683e-22,-4.300043811058173e-23,-2.6242299765758856e-24
محمية الواحات البحرية الجزء الوسطي -جبل منديشة (جبل الانجليز),1,1985,0.0387706365605957,-0.0372200311264037,0.0581551464836769,7.13588637256764e-05,L5,92,295.1315778773764,6.005711123104401e-05,-0.3976474522680477,-2.023903404456982,99590.4871330814,276.10677585463594,2.028015644653984e-07,298.13705004954693,298.0606144918912,296.5743570562723,293.7513565657795,295.648899925619,0.0,2.028663521227629e-07,25743890.337635867,-7.15423172906689e-05,0.0140168245287909,-7.997139452367161e-22,-9.553653745529278e-23,-6.977286878307466e-24
محمية الواحات البحرية الجزء الوسطي -جبل منديشة (جبل الانجليز),2,1985,0.0360082151144124,-0.0348660563770087,0.0540115716252937,4.726268403802722e-05,L5,92,301.62155888184253,1.1703257953545586e-06,0.5551186723985533,-3.864148584915243,99239.62707661062,283.54714844606923,9.718148604683254e-10,305.363365973597,305.3496805757717,304.25594331492545,300.75776212526404,296.170347820503,0.0,1.5387068624081821e-09,28567590.66956522,-5.234623246866724e-05,0.00015870799189028533,-1.0640194281835044e-21,-9.340772769462438e-21,-1.448370781573657e-23
محمية الواحات البحرية الجزء الوسطي -جبل منديشة (جبل الانجليز),3,1985,0.0309345169602621,-0.029202407108188,0.0464011081439918,0.0001234005815244,L5,91,294.3755405398078,7.98810033240604e-06,0.3164366533468057,-3.281943742346851,99810.35226076008,283.3075230203705,2.472610264034061e-08,296.2530866685804,296.44809644091265,297.54913598783725,299.651583988064,297.3544437184875,0.0,2.515185010302198e-08,19692643.21066277,-4.320210357616236e-05,0.0006723396944039033,-8.107912927909207e-22,-3.914861286028223e-21,-6.5491476594350176e-24
محمية الواحات البحرية الجزء الوسطي -جبل منديشة (جبل الانجليز),0,1986,0.0288201240699547,-0.0270107890219029,0.0432295514707708,6.331842837630442e-05,L5,90,286.25522490324795,0.00026072186560650184,1.1614837698583251,-1.0236910079143664,100065.62655815973,277.7016689950448,9.421176380581326e-07,286.94790163110804,287.1532137453997,288.0318711810643,292.2773696998314,296.9669463701602,0.0,9.431938330332438e-07,15256682.231111111,-0.00020696133375167847,0.0460487408108181,0.0138660769992404,-3.790340042880417e-23,-1.6109872531700206e-24
محمية الواحات البحرية الجزء الوسطي -جبل منديشة (جبل الانجليز),1,1986,0.0334587694795163,-0.0316658203889104,0.0501874500711376,4.737156493338331e-05,L5,92,293.91857496482737,9.385988731079051e-06,0.1787182426107103,-2.4029529307199557,99610.36820156814,276.8674052915711,2.9348808786143423e-08,296.99592031810585,296.96554450159493,295.8782413358274,293.7600886427837,295.7781205619592,0.0,2.96727470729662e-08,25693386.93033288,-3.770834199436333e-05,0.0104291058968806,0.0161945246268009,-6.641738864645621e-23,-6.5394129324687695e-24
