pa_name,season,year,ndvi_mean,evi,savi,vegetation_percent,sensor,day_count,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,surface_pressure,dewpoint_temperature_2m,runoff_sum,skin_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,sub_surface_runoff_sum,surface_runoff_sum,surface_solar_radiation_downwards_sum,total_evaporation_sum,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
محمية وادي الجمال,0,1984,0.0132467768872308,-0.0125197454716247,0.0198698722728029,6.014896600016724e-05,L5,91,289.98382086439494,8.532481498345985e-06,0.3162628372377992,-2.357370919676552,97002.6417241002,280.75387603100944,3.485993791905415e-08,292.1062465785541,292.2238505950473,293.3960137593816,296.9800413178363,300.613942532556,0.0,3.516593204744701e-08,17614398.352740943,-6.130626709098556e-05,0.0028900659627882,-2.8394144715976146e-22,-7.299383540339917e-23,-3.49342275241783e-24
محمية وادي الجمال,1,1984,0.0125146849962859,-0.0127054194871214,0.0187718147239353,4.16649404554354e-06,L5,92,297.4519120147116,2.6393752132029638e-06,-0.136292901703735,-2.223020589012668,96460.19007241492,278.4171113257471,8.366847391475097e-09,301.70263638381203,301.57538179362905,300.3941325304216,298.0840365830534,299.6254789920018,0.0,8.83135307201123e-09,14333449.647330629,-0.00010078795352288228,0.00020950621734311555,-6.860834867462634e-22,-8.999500801646275e-23,-1.133562018806601e-23
محمية وادي الجمال,2,1984,-0.0065360543529093,0.0028435549531522,-0.0098037273908738,0.0,L5,92,302.562339569548,8.41525344557928e-07,0.6688611428890762,-2.134630016026668,96090.62958483132,282.4984937686757,1.272070883280987e-09,307.69307390021936,307.60513020998087,306.6833526046228,303.73293134940826,300.03215511109494,0.0,1.3069539810469942e-09,27675560.412683222,-0.00012641911585817024,3.481164165080226e-09,-9.199954785361754e-22,-9.501847429274087e-21,-1.6790847055096858e-23
محمية وادي الجمال,3,1984,0.0121014819573967,-0.0118821169704736,0.0181520015939563,9.652067148218944e-05,L5,91,298.0159003870859,7.205718731516977e-05,0.0253502367898928,-2.067141444130288,96628.89080716408,284.4043849260844,3.26801347816935e-07,301.1714241293809,301.2667545327996,302.1457275708108,303.5199101135617,301.0929203277066,0.0,3.276086005333147e-07,10991001.237832582,-0.00013163713575169573,0.0047422282592364,1.711629301024155e-06,-5.89386809009972e-21,-8.31558111819544e-24
محمية وادي الجمال,0,1985,0.0109316281915261,-0.0110148912621372,0.0163972533372754,6.730490381262639e-05,L5,90,290.1732262416634,1.0451739970831929e-05,0.5542109022880132,-2.3086206585847027,96920.96039976616,280.3556235834618,4.284478801021848e-08,292.2746508783365,292.39768333005367,293.6143578225254,297.1811882878015,300.8589206364302,0.0,4.311638089186453e-08,17483713.82062168,-6.391398992950224e-05,0.0043999712039239,2.7323514572777606e-06,-4.300043811058173e-23,-2.6242299765758856e-24
محمية وادي الجمال,1,1985,0.0161250063654618,-0.0153686219931607,0.0241871693060623,1.260631531728558e-05,L5,92,297.2921534647872,3.870179007831829e-05,-0.2987641929088517,-2.2188529100283465,96518.10610486582,278.93703962924445,1.682209278041194e-07,301.5936446224863,301.4622770470022,300.2159791640183,297.9672307880545,299.8318476857877,0.0,1.684592590921501e-07,13878904.863841329,-0.00011492065679525453,0.0019707872264173,7.500857166296329e-08,-9.553653745529278e-23,-6.977286878307466e-24
محمية وادي الجمال,3,1985,0.0117749794599145,-0.0113184101576607,0.0176622308650075,5.042526126914232e-05,L5,91,297.9949132320315,7.26278229030898e-05,-0.0249305398184065,-2.4454538757046658,96595.93099241774,285.59945387492,3.263529755703205e-07,301.4184316021989,301.51671621332383,302.3870924779186,303.9192165792229,301.3693008032096,0.0,3.269425110745316e-07,10999058.00294147,-0.0001407729117322938,0.0043877597794247,2.800310138730978e-07,-3.914861286028223e-21,-6.5491476594350176e-24
محمية وادي الجمال,0,1986,0.0096275436112049,-0.0097976622867958,0.0144411607412602,6.754496425386286e-05,L5,90,290.3109118611872,3.19700876860445e-05,0.2693230472345107,-2.039216780342864,96926.73309576033,280.6541477667162,1.3871013545079886e-07,292.5407181381555,292.6608523945854,293.87103639981586,297.5477960020275,301.16642782395763,0.0,1.390647905111637e-07,17691663.06128019,-7.840632522037093e-05,0.0069254536327671,1.2627310380853377e-06,-3.790340042880417e-23,-1.6109872531700206e-24
محمية وادي الجمال,1,1986,-0.0134445080921681,0.0076752967149265,-0.0201661365765855,0.0,L5,92,296.42145572851234,3.584899036649497e-05,0.1202378014178662,-2.032076523065079,96505.7883858826,280.46429000067866,1.569108223278408e-07,301.27728424788734,301.1803897717134,300.2822730478472,298.4294566010324,300.16609234578107,0.0,1.575496733275359e-07,14148607.7292138,-0.00011297411832216888,0.0018810325683466,2.4430272704476037e-08,-6.641738864645621e-23,-6.5394129324687695e-24
محمية وادي الجمال,3,1986,0.0060035059136221,-0.0069746105540766,0.0090052254461713,7.050989923227527e-06,L5,91,298.0197134982409,2.2091346991300502e-05,0.0032345651271876,-2.3285411352922667,96642.06639311784,285.2091107223513,1.0311516182588716e-07,301.3734499413643,301.48438009492565,302.48243213072163,304.06797099103204,301.5328962350272,0.0,1.0350984077991132e-07,11025882.226765249,-9.40648043695976e-05,0.0022329607531024,-1.017897960339521e-21,-2.71612106584646e-22,-3.4327683320775844e-24
