pa_name,season,year,ndvi_mean,evi,savi,vegetation_percent,sensor,day_count,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,surface_pressure,dewpoint_temperature_2m,runoff_sum,skin_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,sub_surface_runoff_sum,surface_runoff_sum,surface_solar_radiation_downwards_sum,total_evaporation_sum,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
محمية وادي الريان,0,1984,0.0478100649747281,-0.0510070234270244,0.0717143992525474,0.0009117550368861,L5,91,286.5335650126582,6.108640103776602e-05,0.8754920579311114,-1.5446541974361487,101204.22347826078,277.30300217116144,2.2906597680110255e-07,286.5224540536336,286.7681561664121,288.2155439097255,292.3683099403033,296.0632658213397,8.468078339296623e-10,2.28141941656412e-07,15160958.743247982,-0.00031365295008096766,0.0222985692142582,0.0125068680362168,0.0278902957830803,0.0942419847978054
محمية وادي الريان,1,1984,0.0499742071150511,-0.0566894574271419,0.0749605922796405,0.0014394607085223,L5,92,294.5988322464996,1.9281511020695825e-05,0.2074211024056865,-2.266617707036453,100533.25485841357,277.22425202279777,6.951062629291429e-08,296.6661144404049,296.9199721863277,295.8106132888161,293.9044517424111,294.7378387134359,7.037075938470395e-10,6.83998651867643e-08,25499840.95735114,-0.0005858871001099789,0.0188205706772079,0.012473106864069,0.02787665690001,0.0940532634006968
محمية وادي الريان,2,1984,0.0516360056099447,-0.0581553741177136,0.0774532594942418,0.001923367366652,L5,92,300.23351364049387,1.6529482583431445e-06,0.971852021421447,-4.207133831355525,100237.81004568705,286.0311667467305,4.514145130185149e-09,303.2329848173364,303.59033657970195,302.5423684790472,299.39860609232306,296.14645039448936,1.0004208602182052e-10,3.538029505616495e-09,28254287.694291163,-0.000806648552637035,0.0088379497201817,0.0123674495038915,0.027479419256406,0.0926659927660416
محمية وادي الريان,3,1984,0.0484278966520153,-0.0529612631398589,0.0726411143315062,0.0017745726578131,L5,91,295.8724672415446,3.371785862352785e-05,0.3348308694983704,-2.8621800175269807,100744.98757695322,284.71775938307576,1.2116344766710898e-07,296.93062112991896,297.2465271920251,297.98185472665887,298.9340594106516,297.5544072962309,2.1384106723218488e-10,1.206393111744732e-07,19322394.377746224,-0.0005312861142441282,0.0098819832691339,0.0122134203713674,0.0267385612419339,0.0910540429686083
محمية وادي الريان,0,1985,0.0445160757075279,-0.0481815277909046,0.0667734613330512,0.0010797961375604,L5,90,286.9505096531142,2.5650875076496023e-05,1.2037555293610511,-1.2420732485305293,101068.88633265164,277.1328785076616,9.08139158866615e-08,286.93729461851814,287.1866361216542,288.6528392169972,292.6058289047807,296.17078959213046,5.166703881261023e-10,8.980699346358827e-08,14902102.92827175,-0.00030164250412784203,0.0206333164289602,0.0121301379788683,0.0266348378459424,0.0906896517566841
محمية وادي الريان,1,1985,0.0768533126832852,-0.0621758826148374,0.1152790936857091,0.1110360786252268,L5,92,294.93853901748435,8.158146042396857e-05,-0.0746324037043662,-2.407251813255191,100593.78923020585,278.5334646185094,2.967709518492819e-07,297.0900868882292,297.3394157972792,296.1995267992771,294.14036711785724,294.94174076866943,5.415411676787563e-10,2.959518338426508e-07,25622030.91054802,-0.0006289299597572774,0.0261212916674623,0.0121843216196116,0.0266471268457357,0.0905727566707927
محمية وادي الريان,2,1985,0.0529920182702286,-0.0592070159253373,0.0794872572248734,0.0023290376189764,L5,92,301.373551903314,1.6654420295716514e-06,0.8012958622161417,-3.734096329258253,100180.6389667146,286.3820999679356,4.0104822518303694e-09,304.4688582614959,304.8214642401388,303.63852040856926,300.117650381916,296.5184314980356,1.0830823353575124e-10,3.515854923741416e-09,28334537.866170622,-0.0008126194444207088,0.0129779151406476,0.0121502548323091,0.0264657567278823,0.0892807623140956
محمية وادي الريان,3,1985,0.0449689331498081,-0.0490759166945745,0.0674527481330208,0.0024442004195446,L5,91,295.28309969531455,1.1274058680784032e-05,0.5118198244290636,-3.183780044849246,100771.79231052962,285.0359819751785,3.94416151232992e-08,296.4429229738779,296.7662276986194,297.6226502467224,298.9963836782695,297.8268771406737,2.7739603255749924e-10,3.866343827499151e-08,19091483.36903303,-0.0005142063010303527,0.0102842882978113,0.0120183891659963,0.0260281506346267,0.0876326933286348
محمية وادي الريان,0,1986,0.0439908819393603,-0.0479730872223807,0.0659856829030116,0.0014620846264404,L5,90,287.11059477623974,0.0004059176448145005,1.0197424682670837,-1.1281231734081183,101064.72633530592,279.61201277196227,1.6719203087905695e-06,287.1651085042013,287.41270075205654,288.2312790554084,291.6279254785244,296.2360696466047,4.797653604028091e-10,1.6714351790928035e-06,14821274.948480176,-0.00045071843696692864,0.0592168739010119,0.0670511800508115,0.0259570511452113,0.0872126710579984
محمية وادي الريان,1,1986,0.047817401092483,-0.0525657217915553,0.0717254039544196,0.0016971677405393,L5,92,293.96863933526646,4.549761870054052e-05,0.4400848867535522,-2.6530253752344537,100598.63119617089,279.4370660696171,1.5580496475907799e-07,296.35463025049586,296.5695952879821,295.8940262503286,294.3695199135583,294.7914179869382,4.115712874358547e-10,1.5561395559385157e-07,25241641.07318095,-0.0005983654495760911,0.026754911533132,0.0794469667584959,0.0260751620406146,0.0871678600315656
