pa_name,season,year,ndvi_mean,evi,savi,vegetation_percent,sensor,day_count,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,surface_pressure,dewpoint_temperature_2m,runoff_sum,skin_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,sub_surface_runoff_sum,surface_runoff_sum,surface_solar_radiation_downwards_sum,total_evaporation_sum,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
محمية الواحات البحرية الجزء الغربي -الدست والمغرفة,0,1984,0.0530940236890575,-0.0559734842587791,0.0796401552148748,0.0,L5,91,284.9422404809749,7.36838560686661e-06,0.8968338813537206,-1.629518659560235,99612.69409447972,275.48570010426283,2.8001083122504936e-08,285.48876539516795,285.6183212615629,287.0257308387058,291.3465805892106,295.98173701806815,0.0,2.8328581170721367e-08,15980230.98901099,-2.081323783476274e-05,0.0010832831973121,-2.8394144715976146e-22,-7.299383540339917e-23,-3.49342275241783e-24
محمية الواحات البحرية الجزء الغربي -الدست والمغرفة,1,1984,0.0529327524190314,-0.0591530986049468,0.0793982727751115,0.0,L5,92,294.3731047243312,5.201539741147034e-05,-0.2557277580102285,-1.8800169203592385,98960.28501825743,274.4136810164522,2.124225315840348e-07,297.10254046536875,296.9242663867232,295.4814269991888,292.6731560541236,294.71321828123456,0.0,2.1266548529915188e-07,25941671.964044984,-7.742343713407931e-05,0.0036033547442892,-6.860834867462634e-22,-8.999500801646275e-23,-1.133562018806601e-23
محمية الواحات البحرية الجزء الغربي -الدست والمغرفة,2,1984,0.0599986389633151,-0.0685755549620516,0.0899969597871227,0.0258141846697791,L5,92,299.6113210415494,1.406473716776848e-06,0.6252633190673328,-4.693931701822557,98748.64560688403,283.70068582590073,3.2393828682277513e-09,303.21756012543386,303.1056646264118,302.26359304483395,299.285423099131,295.1616898066754,0.0,3.563321155050526e-09,28584620.391304348,-5.72076634220455e-05,4.975692085597738e-07,-9.199954785361754e-22,-9.501847429274087e-21,-1.6790847055096858e-23
محمية الواحات البحرية الجزء الغربي -الدست والمغرفة,3,1984,0.055551952362796,-0.0629786661491242,0.0833270192854997,0.0,L5,91,294.6560790023524,2.178221487398928e-05,0.2455077088359511,-3.049280801098861,99210.63341525012,282.8212341895469,8.662323375324626e-08,296.4175047123388,296.49645987011144,297.420247179248,298.9395921308915,296.33540752257176,0.0,8.776947692200378e-08,19813741.706948083,-4.526473336167388e-05,0.0026930225637806,-6.563781134020241e-22,-5.89386809009972e-21,-8.31558111819544e-24
محمية الواحات البحرية الجزء الغربي -الدست والمغرفة,0,1985,0.0458058172650786,-0.0497971682863079,0.068707992731268,0.0,L5,90,285.6082920427676,1.1748784045156271e-05,1.245111104294106,-1.2522764099968802,99480.42141746236,275.5786152592412,4.5614110098944773e-08,286.1861371146307,286.3127053296124,287.6823662016128,291.6589547616463,296.0263185218528,0.0,4.58624627855089e-08,15558337.644444443,-1.55779119167063e-05,0.006422092296459,-4.533566000702683e-22,-4.300043811058173e-23,-2.6242299765758856e-24
محمية الواحات البحرية الجزء الغربي -الدست والمغرفة,1,1985,0.0541428336910668,-0.0595387907883084,0.0812133406793663,0.0,L5,92,294.53875171965444,6.107009864776752e-05,-0.3841920309308647,-2.0502750147943907,99022.86258597998,275.9885284658791,2.490275579950084e-07,297.46019811906683,297.2774752326634,295.8118503335592,292.99380271331114,294.8405289097109,0.0,2.4910854256671405e-07,25799613.250679348,-8.562320600385252e-05,0.004282716391743,-7.997139452367161e-22,-9.553653745529278e-23,-6.977286878307466e-24
محمية الواحات البحرية الجزء الغربي -الدست والمغرفة,2,1985,0.0560227591068202,-0.0634659495099147,0.0840332260337603,0.0,L5,92,301.0017562465393,1.2079350304546828e-06,0.5810729437980099,-3.91564686531606,98685.4650295092,283.4843528236168,1.9436297209366508e-09,304.77384367541987,304.6363768577576,303.5563638383064,300.09900773780936,295.41068162088806,0.0,2.3485525794651202e-09,28618193.739130437,-5.53490472552569e-05,8.292820142662057e-08,-1.0640194281835044e-21,-9.340772769462438e-21,-1.448370781573657e-23
محمية الواحات البحرية الجزء الغربي -الدست والمغرفة,3,1985,0.0533942785688133,-0.0601877936454557,0.0800905547577296,1.7808082760721466e-05,L5,91,293.8621238946041,8.990637357606181e-06,0.3418538387005148,-3.3048354583782134,99239.59429372707,283.1397263313825,3.5369789207374657e-08,295.6315300351099,295.72690199408333,296.81021872020904,298.8917096176428,296.6449082832197,0.0,3.5369789207374657e-08,19685035.830442995,-4.110817930528096e-05,0.0010976337251209,-8.107912927909207e-22,-3.914861286028223e-21,-6.5491476594350176e-24
محمية الواحات البحرية الجزء الغربي -الدست والمغرفة,0,1986,0.0501989666516405,-0.0559569541695001,0.0752976310564988,0.0,L5,90,285.75043414080574,0.0002479589217028967,1.1940902422975612,-1.0471600201394822,99475.22026186342,277.56270107693155,1.0457303788926866e-06,286.17370440165206,286.3006283866033,287.18747466052025,291.4088775846692,296.21567105187296,0.0,1.04614430003696e-06,15256046.822222222,-0.00021372266734639804,0.0358491897583007,0.0110684006302445,-3.790340042880417e-23,-1.6109872531700206e-24
محمية الواحات البحرية الجزء الغربي -الدست والمغرفة,1,1986,0.053540056116902,-0.0599075549000738,0.0803092155160581,0.0,L5,92,293.33618033450585,9.065581371582647e-06,0.19887474913528,-2.449491883533588,99039.40615446672,276.7405676910841,3.417548925980278e-08,296.3785633349764,296.2379033600073,295.1581510391789,293.0262624284496,294.97436468843097,0.0,3.466139669003694e-08,25699707.982506797,-3.901998633923738e-05,0.0009931619616522307,0.0100047553794971,-6.641738864645621e-23,-6.5394129324687695e-24
