pa_name,season,year,ndvi_mean,evi,savi,vegetation_percent,sensor,day_count,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,surface_pressure,dewpoint_temperature_2m,runoff_sum,skin_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,sub_surface_runoff_sum,surface_runoff_sum,surface_solar_radiation_downwards_sum,total_evaporation_sum,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
محمية كهف سنور,0,1984,0.0559823473136269,-0.0564110944396266,0.0839725173706296,0.000348968382259,L5,91,286.0004648900294,2.910262982772601e-05,0.2821807935561016,-1.4900723311490631,99653.26048642116,275.3678302625159,1.1904554052667305e-07,286.5587183913906,286.6922180678819,288.18858247274875,292.83652253203326,296.82731047130767,0.0,1.1920928955078125e-07,15530650.131868131,-3.24456512436762e-05,0.0066047850109281,-2.8394144715976146e-22,5.980551024496337e-06,0.0729601444342197
محمية كهف سنور,1,1984,0.0631604113476514,-0.0673780702428899,0.0947395248778739,0.0,L5,92,295.2079603983008,2.8947913975963932e-05,0.2703032938466553,-2.468602594258129,99005.97885883716,274.00499314847195,1.17427628973256e-07,298.00046756993163,297.833700829658,296.53901941879934,294.1381262972735,295.18815140793305,0.0,1.1807550554690155e-07,25986457.551001508,-5.866847324954427e-05,0.0025872147601583,-6.860834867462634e-22,2.004098201143569e-07,0.0724808651468027
محمية كهف سنور,2,1984,0.0665314091113303,-0.0709927170473598,0.0997959493379297,0.0,L5,92,300.71745056345844,1.5579148658664952e-06,1.167116850614548,-5.0264512330725575,98707.09125905798,283.58904898684955,4.2111977286960764e-09,304.37594193306523,304.2475961325825,303.25126040500135,299.7974381792372,296.06336747736174,0.0,3.8872594418733015e-09,28535618.04347826,-5.448215803050476e-05,1.1057093523550606e-06,-9.199954785361754e-22,-9.501847429274087e-21,0.0701904504195503
محمية كهف سنور,3,1984,0.058882074828337,-0.0606951609510506,0.0883220311670951,0.0,L5,91,295.6773925683438,4.340003353870774e-05,0.2553759533843714,-3.190832507042657,99208.6389097556,282.2147200168707,1.779133146935767e-07,297.2676980574053,297.3348351992093,298.1713730878447,299.37055399129684,297.6177217252961,0.0,1.790595578623342e-07,19903340.49815687,-6.999329223737612e-05,0.0022642883188995,-6.563781134020241e-22,-5.89386809009972e-21,0.0678534874549278
محمية كهف سنور,0,1985,0.0615785238354842,-0.0646286257358954,0.0923666367389023,0.0,L5,90,286.7174970485545,1.8261750466071665e-05,0.6753445298583419,-1.102164512210422,99531.57975079572,274.90511265507456,7.318125830756295e-08,287.3805453900938,287.5041884386982,288.8983764012653,293.0769135651765,296.992400155244,0.0,7.301568984985352e-08,15418200.155555556,-2.123438235786226e-05,0.0046990783126265,-4.533566000702683e-22,2.47955322265625e-06,0.0671217953717267
محمية كهف سنور,1,1985,0.0490272962720878,-0.0399923578833056,0.0735401341313755,0.0,L5,92,295.43908219406586,4.466351525048272e-05,0.0930427403553671,-2.578696610271067,99061.71584684956,275.4814722710761,1.835110394851021e-07,298.4761857917343,298.3032400297082,296.96873368387634,294.49739936469274,295.51462240495545,0.0,1.8343005491339642e-07,25986093.359375,-7.4548808776814e-05,0.0041987101236979,-7.997139452367161e-22,8.06476758873981e-06,0.0668852087380229
محمية كهف سنور,2,1985,0.0631089991892427,-0.0659791409816005,0.0946623801456776,0.0,L5,92,301.8873268279477,2.061026508802461e-06,1.1722324879273125,-4.597050205089046,98666.70370704537,284.01288808601487,5.668920019398565e-09,305.64142480794925,305.4925568000129,304.3039586993233,300.5195638476938,296.4360112107317,0.0,5.749904591104258e-09,28574865.28260869,-5.627416438706543e-05,1.575635827105968e-06,-1.0640194281835044e-21,-9.340772769462438e-21,0.0646956899891728
محمية كهف سنور,3,1985,0.0497284285891025,-0.0492111743460765,0.0745917529899101,0.0,L5,91,295.1561693673604,1.18231679766301e-05,0.4647781962440124,-3.6909527996957534,99226.88183951468,283.31526701790943,4.7405342479328536e-08,296.92455691383003,297.00046648297985,297.92579292465047,299.5381877326266,297.95547214969184,0.0,4.7405342479328536e-08,19766007.12714629,-4.4512715968456895e-05,0.0015744080036987,-8.107912927909207e-22,-3.914861286028223e-21,0.0623059325165801
محمية كهف سنور,0,1986,0.0540755097233536,-0.0535830651550093,0.0811122277174533,0.0,L5,90,286.6827447961879,0.0003789909581133344,0.4749328891436258,-0.9372029255937646,99532.4614655671,277.5280050772207,1.689294974009196e-06,287.2398384800664,287.3792859748558,288.3009304258558,292.5922913939864,297.23184039504446,0.0,1.690122816297743e-06,15367144.644444443,-0.0002588912844657898,0.0395970733077437,0.0400054366500289,5.7714956778067125e-06,0.061670465822573
محمية كهف سنور,1,1986,0.0632172334859727,-0.0664633793539452,0.0948247211329081,0.0,L5,92,294.1912023779274,3.414553141397555e-05,0.6596490464348723,-2.754183585229128,99062.24899866956,276.9755026223003,1.392934633337933e-07,297.2362833092179,297.10149067035627,296.1915567301323,294.3899532331937,295.63518524860984,0.0,1.399413399074389e-07,25631989.982506797,-4.9941221495037496e-05,0.0033945069796797,0.0479889192442963,2.21694725147192e-05,0.0616607666015625
محمية كهف سنور,2,1986,0.0590093790979108,-0.061392535863624,0.0885130216736476,0.0,L5,92,302.2138845816902,1.0272575522585683e-06,0.8496979833513064,-4.607550753199536,98697.48344797324,283.82095335531926,1.9436297209366508e-09,305.91928758483,305.746686845586,304.3568992476533,300.2119579038759,296.33540500419724,0.0,2.1865834360537324e-09,28561522.760869566,-5.6761276462803714e-05,1.1057093523549722e-07,0.0326643473860146,3.0517578125e-05,0.0616607666015625
محمية كهف سنور,3,1986,0.0545225712851271,-0.0548216540287509,0.0817828451620081,0.0,L5,91,295.4245805565691,4.518045743020968e-05,0.6975015978236776,-3.326891144553384,99248.3233334049,283.22971367748664,1.861826404110416e-07,297.3160467043028,297.40613743149754,298.4487467405997,300.0504233741062,297.94373417249955,0.0,1.8659201297131213e-07,19270622.18844437,-6.701484076924377e-05,0.0036261282561026,0.0120035597692915,3.4821339142628203e-05,0.0616607666015625
محمية كهف سنور,0,1987,0.046344612944281,-0.0447520571034127,0.0695160776090083,1.6351881197363044e-05,L4,90,286.2749463540536,1.4666788216683497e-05,0.7141842656665378,-0.6567908785961294,99690.60215024596,275.2537723682544,5.770060751173232e-08,286.9606614925243,287.07745208033805,288.4233962800768,292.7281796066848,297.265238627681,0.0,5.8694018257988834e-08,15739924.844444444,-2.4792313989665773e-05,0.0065542856852213,0.0076214825665509,4.57763671875e-05,0.0616552988688151
محمية كهف سنور,1,1987,0.0542736964703473,-0.0541469204396684,0.0814095931277888,0.0,L5,92,293.3478782280632,3.128144145913148e-05,0.6524626331916756,-2.4968903392985244,99169.14851180364,275.74055264652645,1.2682183929111648e-07,296.6152992110321,296.4695906224457,295.405531551527,293.7897000796553,295.6335638225942,0.0,1.2706479300623358e-07,26077342.320416,-5.359633866211642e-05,0.0043205109195432,0.0050847772238911,4.574872445369112e-05,0.0616030209306357
محمية كهف سنور,2,1987,0.0547781349206684,-0.0560680622586577,0.0821662347690834,0.0,L5,92,301.9037216711734,1.0332244961830384e-06,1.126285096873408,-4.858326632475509,98711.47912243832,284.562494761702,1.133784003879713e-09,305.6506983991983,305.5029407307721,304.2999831766323,300.2555010698843,296.2067765774934,0.0,1.6196914341138754e-09,28505847.173913043,-5.573515132393526e-05,4.1464100713305283e-08,9.447595347528872e-05,2.9301297837409406e-06,0.059991767441017
محمية كهف سنور,3,1987,0.0508122083963577,-0.0507359006028677,0.0762173764480486,0.0,L5,91,295.15029437026686,2.648039708758348e-06,0.5111847251326174,-3.5819921035033007,99215.61884014423,282.7613933199928,8.514949253627232e-09,296.84963282910024,296.93418095487385,297.9477678864866,299.733257391514,297.7676122267168,0.0,9.415568886222421e-09,20047093.81198489,-4.229419301826875e-05,2.068739670973557e-05,-6.922036026205859e-22,-1.1343433244187886e-21,0.0575045910510387
محمية كهف سنور,0,1988,0.0556014275190822,-0.0564700747135136,0.0834010866964845,0.0,L5,91,286.3514634576036,0.0001918377157797468,1.083906227852399,-0.8957326805198581,99550.91620521405,277.51539112971375,7.989314886239858e-07,286.9128057389033,287.03132952176617,288.19717504340656,292.6357780149132,297.1578125656742,0.0,8.001596063047975e-07,14535692.857142856,-0.00018568941811611365,0.0196518251747438,5.46214344737294e-05,-3.118667851953986e-23,0.056695323287349
محمية كهف سنور,1,1988,0.0492774775124876,-0.0482090031669241,0.073915355856618,0.0,L5,92,295.7323480067045,2.8958153448653967e-05,0.0897152376347694,-2.880565116370934,99047.11663729904,276.3609015423319,1.17427628973256e-07,298.6876328164252,298.5218710346498,297.2080082409624,294.30971000505525,295.64220129234207,0.0,1.1896633583566417e-07,26037570.722603176,-6.156046267436898e-05,0.0033838852592136,3.1194825103317484e-05,-6.174486702413464e-23,0.0563567963199339
محمية كهف سنور,2,1988,0.0558759520232982,-0.0570282045107855,0.0838129535147874,0.0,L5,92,303.1306032581607,1.332796625952426e-06,0.918378087921419,-4.339491916307504,98536.23649796192,283.62431311261827,2.4295371511708136e-09,306.9032069081844,306.74482930915946,305.48060147658634,301.4041477286297,296.49300063865763,0.0,2.99642915311067e-09,28512004.652173918,-6.095693527680376e-05,4.0773032368092393e-07,-9.34476639750234e-22,-9.147160084207058e-21,0.053937504256981
محمية كهف سنور,3,1988,0.0572602079407719,-0.0585452652433928,0.0858892577598266,3.270376239472609e-05,L4,91,294.6710426484272,1.5950891511463172e-06,0.2562687148104657,-3.865706216284644,99218.3779243218,282.058242399614,3.929976578597184e-09,296.36273328899887,296.4759047651467,297.77171272585247,300.22693643814483,298.08323399749867,0.0,4.421223650921832e-09,20077650.4663864,-3.735801962378261e-05,1.4671912560096085e-06,-7.128741722874482e-22,-3.914849966375427e-21,0.0515166621505122
