pa_name,season,year,ndvi_mean,evi,savi,vegetation_percent,sensor,day_count,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,surface_pressure,dewpoint_temperature_2m,runoff_sum,skin_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,sub_surface_runoff_sum,surface_runoff_sum,surface_solar_radiation_downwards_sum,total_evaporation_sum,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
محمية سالوجا وغزال,0,1984,0.0998707970929658,-0.0949179133398381,0.1498035128284688,0.4428879508967242,L5,91,290.02762978242873,1.3150754326581896e-06,0.2602535224222875,-3.3723411040428366,99429.7627757984,274.1388263562661,2.45623536162324e-09,291.8762961586753,292.1618936559657,293.50537594945433,297.6134048294236,301.83265205355355,0.0,2.783733409839672e-09,18159170.57142857,-0.00023695574766331975,5.733224498483287e-05,-2.8394144715976146e-22,-7.299383540339917e-23,-3.49342275241783e-24
محمية سالوجا وغزال,2,1984,0.0838436815534163,-0.0813049037825469,0.1257633618823767,0.2909654765635081,L5,92,305.0003263984901,8.41525344557928e-07,2.0666775301746703,-3.647795094528061,98423.65149456525,277.14001245775086,8.098457170569377e-10,308.83548712384874,309.2649478083071,308.4568338877914,305.6336366266445,301.3078026633332,0.0,8.098457170569377e-10,27906436.95652174,-0.0004598570825613064,-9.292795458216096e-21,-9.199954785361754e-22,-9.501847429274087e-21,-1.6790847055096858e-23
محمية سالوجا وغزال,3,1984,0.0989684396016133,-0.0955654908506805,0.1484500435871925,0.4104738447643449,L5,91,299.774643705878,9.43324596989228e-06,0.3768271950138357,-3.1646218199432976,98947.93973393145,278.18620206672193,3.258605579753498e-08,302.32788095718763,302.72339707678486,303.66897550170665,305.1665704748132,302.4662525889637,0.0,3.3732298966292496e-08,21104066.168486543,-0.0003452290586390338,0.0010988214513757,-6.563781134020241e-22,-5.89386809009972e-21,-8.31558111819544e-24
محمية سالوجا وغزال,0,1985,0.0942561100890236,-0.0906881273018813,0.1413816037410798,0.3932870071701105,L5,90,290.3696400607074,1.1843574640914136e-06,0.3432398116147076,-3.1329108591432915,99347.09039894382,274.7998690569842,1.8212530348036022e-09,292.1123117023044,292.40230855588544,293.7950334831521,297.86871405707456,302.19363713441066,0.0,1.9868214925130212e-09,17933250.31111111,-0.0002286517061293125,5.651403356480694e-08,-4.533566000702683e-22,-4.300043811058173e-23,-2.6242299765758856e-24
محمية سالوجا وغزال,0,1986,0.0808921735466595,-0.0758090638504138,0.1213361697552463,0.312291486185096,L5,90,290.4245344373914,5.577864578584348e-05,0.2806487184983715,-2.990242702431148,99348.96239149309,275.59332535355185,2.1275546815660266e-07,292.3264767540826,292.5977393892075,293.9894250728467,298.3784242064864,302.54296597374804,0.0,2.1275546815660266e-07,18246851.066666663,-0.00027381634960571923,0.0084716161092122,-4.541647449739392e-22,-3.790340042880417e-23,-1.6109872531700206e-24
محمية سالوجا وغزال,1,1986,0.0928853426908722,-0.0900447345041717,0.1393255839482949,0.3789237461522865,L5,92,298.9454235339511,1.1495014564944916e-06,0.8330218403235723,-3.221516065839407,98841.7612269305,273.3269545513651,1.2957531472911003e-09,302.65557271846825,302.9609541271044,301.8459243705308,299.56442178505074,301.40411587728966,0.0,1.9436297209366508e-09,26914242.24337636,-0.0003346315807784381,1.8658845320990957e-07,-8.168891928598844e-22,-6.641738864645621e-23,-6.5394129324687695e-24
محمية سالوجا وغزال,3,1986,0.1071105277552765,-0.1048619195725055,0.1606629834144484,0.471271173944298,L5,91,299.8236315381397,8.406604312110606e-07,0.5664305001388102,-3.7654933545179,98976.43551289204,279.2314664819738,9.82494144649296e-10,302.4244558732588,302.8570249229122,303.9237460251694,305.5795780573135,302.90169727059936,0.0,1.391866704919836e-09,21120779.485147662,-0.0003708724628438006,-1.008681906286621e-20,-1.017897960339521e-21,-2.71612106584646e-22,-3.4327683320775844e-24
محمية سالوجا وغزال,0,1987,0.0860122045205063,-0.0811044658594048,0.12901614305175,0.3266267533592614,L4,90,289.480824717769,1.1070626671975484e-06,0.3165232684877184,-2.9619017817355964,99517.87066876447,274.19393711796505,1.0761949751112195e-09,291.26776327203817,291.5340583448056,292.9162149288037,297.29927426090944,302.4918617107249,0.0,1.9868214925130212e-09,18223721.377777778,-0.0002326618673072921,6.357828776040782e-08,-6.193313532078316e-22,-3.850983240648515e-23,-2.099398077437432e-24
محمية سالوجا وغزال,2,1987,0.088775272209809,-0.0870211437080754,0.133160519608851,0.3322650360348736,L5,92,306.3256771668144,9.987250686364129e-07,2.009635413902393,-3.778535107339637,98449.81200287308,277.77271310833913,1.457722290702488e-09,309.93043136596674,310.3601379256317,309.4399244059687,306.002003490061,301.61439942622536,0.0,1.9436297209366508e-09,27816804.760869566,-0.0004776281750072604,-9.944481943089303e-21,-9.286490727982614e-22,-3.5611231621519e-21,-8.096856027755838e-24
محمية سالوجا وغزال,3,1987,0.1207738226838422,-0.1230836640238702,0.1811575125124083,0.548836316271297,L4,91,299.687415371011,8.720177932806374e-07,0.7372886789587392,-3.675643061106896,98958.61105626143,278.2594187320807,9.82494144649296e-10,302.2031663398603,302.61969474121764,303.5598266447858,305.4026489537278,302.825789238507,0.0,1.883113777244484e-09,21287834.55923764,-0.0003563696723226663,-1.0520401175544311e-20,-6.922036026205859e-22,-1.1343433244187886e-21,-5.29087431544938e-24
محمية سالوجا وغزال,0,1988,0.1026654396743048,-0.1004579741568538,0.1539954322836962,0.4392208725784751,L4,91,289.8362721872853,1.175393316176721e-06,0.6981615810603884,-3.0036164552737508,99534.06776199062,275.2378989279053,2.128737313406808e-09,291.730628541101,292.00929694821986,293.4315169547504,297.85764550289383,302.49294073503097,0.0,2.538109873677348e-09,18018255.912087917,-0.00022522955723516236,2.3754525097297738e-07,-3.7626727907549705e-22,-3.118667851953986e-23,-1.9126606605007328e-24
محمية سالوجا وغزال,1,1988,0.0929878024463764,-0.0905631665500502,0.1394793195719754,0.3504881066484802,L4,92,300.83900738453514,1.2536101998173384e-05,0.198318673648696,-3.175284867701324,98910.65649237146,273.27035809945374,4.502742186836575e-08,304.37056844821865,304.6898371309472,303.1243201960688,299.6669806190158,301.2870067582614,0.0,4.640415958736254e-08,26846526.787820566,-0.0003450856463092825,0.0006559758946515511,-7.859805477095736e-22,-6.174486702413464e-23,-5.872335732659458e-24
محمية سالوجا وغزال,2,1988,0.0795568946034301,-0.0762540336409468,0.1193332540841558,0.2594476342322085,L5,92,307.39472272430646,1.8929286335308983e-05,1.585135422754979,-3.299329456643782,98417.68894361408,278.14489522878665,6.932279338007388e-08,311.1655466245568,311.581988396852,310.49741268157953,306.87369560849834,301.9108543948851,0.0,6.980870081030804e-08,27426345.54347826,-0.0004802098720455947,0.0016443763954052,-9.34476639750234e-22,-9.147160084207058e-21,-7.864296739072183e-24
محمية سالوجا وغزال,3,1988,0.1159323974018965,-0.116071090342055,0.1738955368424403,0.5116067314249902,L4,91,299.3340114341987,8.218662593073212e-07,0.7163374140149074,-3.879274577448218,99049.0326862265,277.3768003065508,6.549960964328641e-10,301.8481376144912,302.29644083714754,303.5729053483342,305.92369679042275,303.234965160216,0.0,1.146243168757512e-09,21301397.565287497,-0.00037436154517498646,-9.489862593418227e-21,-7.128741722874482e-22,-3.914849966375427e-21,-4.0311161969942076e-24
محمية سالوجا وغزال,0,1989,0.0947969971044905,-0.0920518508056991,0.1421929686750032,0.3948399166866344,L5,90,288.221795880353,8.970881195422306e-07,0.6217344924255654,-3.6262058015222896,99690.66191225409,273.8283502649378,7.450580596923829e-10,290.1468616061742,290.41812475698976,292.0136874022308,297.2534640206232,302.8041729609171,0.0,1.4073318905300562e-09,18238912.244444445,-0.0002417035297387176,5.6514033564807525e-08,-3.6549757137956817e-22,-2.75438993348162e-23,-2.3532024031228558e-24
محمية سالوجا وغزال,1,1989,0.0750219616223251,-0.0798552557814532,0.1125308757856741,0.3254635688349035,L5,92,300.43583275615305,6.470204021060881e-06,0.2493086414060731,-2.669684472723284,98910.06574813182,273.0702040160912,2.2999618364417038e-08,304.131052957065,304.4128399448118,302.72429926499075,299.0266376509182,301.2999778692273,0.0,2.2918633792711345e-08,26276688.36328125,-0.00031867272058582824,0.0002266980599665987,-7.559680814815119e-22,-6.946228941933938e-23,-4.335093935444203e-24
محمية سالوجا وغزال,2,1989,0.0867386952692981,-0.0837727036391028,0.1301057582532839,0.3221757322175732,L5,92,306.55060783330947,8.972325672767343e-07,1.5364740214486046,-4.024195452963098,98534.72555409312,276.2826380038607,4.859074302341627e-10,310.0311399888304,310.4744324615036,309.52518204675204,306.3491539540498,301.8380010577216,0.0,8.908302887626317e-10,27865400.239130437,-0.0004772484383505324,-9.7549558470136e-21,-9.247575531672308e-22,-1.4930748505993814e-20,-7.561174016665088e-24
محمية سالوجا وغزال,3,1989,0.0778385728816395,-0.074696626525557,0.1167561139041501,0.2056015335557476,L4,91,300.0624927199368,1.1994772566450285e-06,0.4896762392896435,-3.7534518717846144,98949.17983416324,278.0427769042635,2.210611825460916e-09,302.45186848343513,302.88455823402256,303.88394819685834,305.7435452527615,303.0698299128493,0.0,3.029356946001996e-09,21184195.806447458,-0.00036063730962328857,1.8863887577265437e-07,-6.513007236007862e-22,-4.758666356093016e-21,-4.9964945036990986e-24
محمية سالوجا وغزال,0,1990,0.1106299626728854,-0.1102674553715355,0.1659419687083012,0.4916732715241552,L5,90,289.02644673100224,5.229441138807387e-06,0.8097730384932624,-3.178825390780416,99484.18078884546,274.67079829463256,1.7384688059488933e-08,290.96169553686065,291.2528078997575,292.9173860196715,297.6529921284429,302.68281163816107,0.0,1.763304074605306e-08,18302761.133333333,-0.000222809167785777,0.0005836274888780381,-1.908419863410544e-22,-2.196039951223504e-23,-1.129977148515207e-24
محمية سالوجا وغزال,1,1990,0.1080866314187417,-0.1101752542627442,0.1621271685061523,0.467428068493908,L4,92,299.3818843883017,2.600489087719545e-06,0.5933005978231843,-3.220307106557099,98935.49386817828,272.4175604391788,7.450580596923828e-09,302.9488451031672,303.2411433993907,301.6655439363009,298.80008004368204,301.29167058502424,0.0,7.936488027157991e-09,26971075.481700063,-0.00033072359940927964,1.469902370287024e-05,-7.511099203102184e-22,-7.320264567680771e-23,-5.2137446857875225e-24
محمية سالوجا وغزال,2,1990,0.0981255324348682,-0.0977223732175875,0.1471857154234927,0.393279634305937,L4,92,305.6287859419119,8.02584620289607e-07,2.270479063193003,-3.4446662137473827,98467.36088053387,276.78754690419066,3.2393828682277513e-10,309.3830257429594,309.8131279254304,308.94840044215096,305.87642236377894,301.7110245538795,0.0,5.668920019398564e-10,27919375.086956523,-0.0004637470043709745,-9.859042724296672e-21,-1.0164750485536737e-21,-1.3993176885718108e-20,-8.016381582216893e-24
محمية سالوجا وغزال,3,1990,0.0826982751250551,-0.0791092669210463,0.1240454192275433,0.2954387314987189,L4,91,300.87549304612827,1.0431101888772755e-06,0.5813917244747009,-3.5810653792196145,98874.16170336826,279.3752762581402,8.187451205410801e-10,303.4402839185553,303.8503669557117,304.51966326227995,305.42876894744774,302.82260323968137,0.0,1.555615729028052e-09,21240607.071299795,-0.0003570845596246667,-1.1113986698679127e-20,-7.018717396544329e-22,-9.395980322256084e-22,-4.668613314500576e-24
محمية سالوجا وغزال,0,1991,0.0830997841987458,-0.0785512715866215,0.1246476029236747,0.3301918787901131,L5,90,291.0879970833108,7.463628866770162e-05,0.5309255410123754,-3.214133055563327,99376.24779730904,275.75093843672016,2.854400210910373e-07,292.9952394697401,293.28786400689006,294.66289309748885,299.0481372903894,302.73850705888526,0.0,2.8577115800645615e-07,17808728.266666666,-0.00030364816387494405,0.0104607546771014,1.975165473090278e-05,-4.838884279938322e-23,-1.978038193254165e-24
محمية سالوجا وغزال,1,1991,0.0888561455050767,-0.0875002830760619,0.133282063366073,0.3079622325032717,L5,92,301.547024609386,1.5486132358881647e-05,0.0246712997339773,-3.147107704826024,98807.65481876984,273.86814043487334,5.685116933739704e-08,304.9479109584421,305.27058821830207,303.75423859167785,300.3046373491702,301.63435697555536,0.0,5.717510762421982e-08,26327204.28938874,-0.0003679327403559633,0.0022504986196324,3.1443609707597377e-06,-1.03035567612996e-22,-4.1469714299380415e-24
